Company_name,Job_Title,Link_of_Job,Salary,Location,Time
Soft Steer,Data Scrapper / Data Entry,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_961dfc42&cb=1736431930770&jobListingId=1009580506168&jrtk=5-yul1-0-1ih5mh37vk3cj802-8d0d5460ce090998,Easy Apply,Lahore,12d
Salsoft Technologies (Pvt) Ltd,Data Scraping Experince,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_ab54a63a&cb=1736431930771&jobListingId=1009526245674&jrtk=5-yul1-0-1ih5mh37vk3cj802-15b7390a1229d8b8,PKR 40K - PKR 50K (Employer est.),Lahore,30d+
Matlay,Data Scraper Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_f5815954&cb=1736431930770&jobListingId=1009585303389&jrtk=5-yul1-0-1ih5mh37vk3cj802-3ba8f7af42d463ad,Easy Apply,Lahore,6d
Big Data Analytics,Associate Software Engineer (Web Scraping),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_93022bab&cb=1736431930771&jobListingId=1009562791389&jrtk=5-yul1-0-1ih5mh37vk3cj802-38a4bb5646edfc19,Easy Apply,Lahore,28d
Salsoft Technologies (Pvt) Ltd,Data Scraping Excel Expert Job,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_34dc05e7&cb=1736431930771&jobListingId=1009518796099&jrtk=5-yul1-0-1ih5mh37vk3cj802-866eec713fc01dce,PKR 40K - PKR 50K (Employer est.),Lahore,30d+
Triaxo Solution,Data Extraction Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_f4ba997e&cb=1736431930771&jobListingId=1009481632115&jrtk=5-yul1-0-1ih5mh37vk3cj802-cf309e54a4d447d8,Easy Apply,Lahore,30d+
#N/A,#N/A,#N/A,#N/A,#N/A,Get a list of jobs made just for you.
Contour Software,M&A Research Associate,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_4df87941&cb=1736431930770&jobListingId=1009573425689&jrtk=5-yul1-0-1ih5mh37vk3cj802-6ecdee5f24f542c7,#N/A,Lahore,19d
Technisia LLC,PHP Laravel Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_6db4330b&cb=1736431930771&jobListingId=1009571503239&jrtk=5-yul1-0-1ih5mh37vk3cj802-e22a31f00392d056,PKR 100K - PKR 200K (Employer est.),Lahore,21d
Terasols,"Senior Python and FastAPI Developer with AWS, PostgreSQL, and Data Crawling Expertise",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_cec44edd&cb=1736431930772&jobListingId=1009581752569&jrtk=5-yul1-0-1ih5mh37vk3cj802-ce659f1384f6c5e5,PKR 50K - PKR 100K (Employer est.),Lahore,10d
M365Connect,Python Selenium Django Backend Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_15868a83&cb=1736431930771&jobListingId=1009542699036&jrtk=5-yul1-0-1ih5mh37vk3cj802-3e533da647f7bcab,Easy Apply,Lahore,30d+
Beta Web Solutions,Business Development Executive,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_de6d7ee2&cb=1736431930771&jobListingId=1009481963743&jrtk=5-yul1-0-1ih5mh37vk3cj802-0fed1ed044e77e49,PKR 60K - PKR 70K (Employer est.),Lahore,30d+
ZAPTA Technologies (Pvt.) Limited,BD Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_60de51cc&cb=1736431930771&jobListingId=1009527210238&jrtk=5-yul1-0-1ih5mh37vk3cj802-7a440e76714180fd,Easy Apply,Lahore,30d+
Real Funnels Media,Email Hunting Specialist - B2B Lead Generation,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=000001944b688c249db6adced669f17e&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_166ce69d&cb=1736431930771&jobListingId=1009502324939&jrtk=5-yul1-0-1ih5mh37vk3cj802-68c951c45c02b810,PKR 25K - PKR 35K (Employer est.),Lahore,30d+
